Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
CCDC146	0	0	0	0	2	0	0	0	0	2	2	2
CCDC15	1	0	0	0	1	0	0	0	0	2	2	2
CCDC150	0	1	0	0	1	0	0	0	0	2	2	2
CCDC158	0	0	0	0	2	0	0	0	0	2	2	2
CCDC171	0	0	0	0	2	0	0	0	0	2	2	2
CCDC180	0	1	0	0	1	0	0	0	0	2	2	2
CCDC191	0	0	0	0	2	0	0	0	0	2	2	2
CCDC3	0	0	0	0	2	0	0	0	0	2	2	2
CCDC33	0	0	0	0	2	0	0	0	0	2	2	2
CCDC51	1	0	0	0	1	0	0	0	0	2	2	2
CCDC57	0	0	0	0	2	0	0	0	0	2	2	2
CCDC61	0	0	0	0	2	0	0	0	0	2	2	2
CCDC63	1	0	0	0	1	0	0	0	0	2	2	2
CCDC80	0	1	0	0	1	0	0	0	0	2	2	2
CCDC82	0	0	0	0	2	0	0	0	0	2	2	2
CCDC87	0	0	0	0	2	0	0	0	0	2	2	2
CCDC88A	0	0	0	0	2	0	0	0	0	2	2	2
CCDC89	0	0	0	0	2	0	0	0	0	2	2	2
CCDC91	0	0	0	0	2	0	0	0	0	2	2	2
CCNF	1	0	0	0	1	0	0	0	0	2	2	2
CCPG1	0	0	0	0	2	0	0	0	0	2	2	2
CCT8L2	0	0	0	0	2	0	0	0	0	2	2	2
CD101	0	0	0	0	2	0	0	0	0	2	2	2
CD163	0	0	0	0	2	0	0	0	0	2	2	2
CD200R1	1	0	0	0	1	0	0	0	0	2	2	2
CD27	0	0	0	0	1	1	0	0	0	2	2	2
CD300E	0	0	0	0	2	0	0	0	0	2	2	2
CD34	0	0	0	0	1	1	0	0	0	2	2	2
CDC23	0	0	0	0	2	0	0	0	0	2	2	2
CDC25C	0	0	0	0	2	0	0	0	0	2	2	2
CDC42BPA	0	0	0	0	1	1	0	0	0	2	2	2
CDH12	0	0	0	0	2	0	0	0	0	2	2	2
CDH19	1	0	0	0	1	0	0	0	0	2	2	2
CDH4	0	0	0	0	2	0	0	0	0	2	2	2
CDH8	0	0	0	0	2	0	0	0	0	2	2	2
CDHR5	0	0	0	0	2	0	0	0	0	2	2	2
CDK14	0	0	0	0	1	0	0	1	0	2	2	2
CDKL5	0	0	0	0	2	0	0	0	0	2	2	2
CDR1	0	0	0	0	2	0	0	0	0	2	2	2
CDSN	1	0	0	0	1	0	0	0	0	2	2	2
CDV3	0	0	0	0	2	0	0	0	0	2	2	2
CEACAM3	0	0	0	0	2	0	0	0	0	2	2	2
CEBPZ	0	0	0	0	2	0	0	0	0	2	2	2
CELA3B	0	0	0	0	2	0	0	0	0	2	2	2
CELF6	0	0	0	0	2	0	0	0	0	2	2	2
CELSR3	0	0	0	0	2	0	0	0	0	2	2	2
CEMIP	0	0	0	0	2	0	0	0	0	2	2	2
CENPC	0	0	0	0	2	0	0	0	0	2	2	2
CEP131	1	0	0	0	1	0	0	0	0	2	2	2
CEP135	0	0	0	0	1	1	0	0	0	2	2	2
CEP192	0	0	0	0	2	0	0	0	0	2	2	2
CEP41	0	0	0	0	2	0	0	0	0	2	2	2
CEP57L1	0	0	1	0	1	0	0	0	0	2	2	2
CEP63	0	0	0	0	2	0	0	0	0	2	2	2
CEP76	0	0	0	0	2	0	0	0	0	2	2	2
CERS3	0	0	0	0	2	0	0	0	0	2	2	2
CERS4	0	0	2	0	0	0	0	0	0	2	2	2
CFAP161	0	0	0	0	2	0	0	0	0	2	2	2
CFAP221	0	0	0	0	2	0	0	0	0	2	2	2
CFAP54	0	0	0	0	2	0	0	0	0	2	2	2
CFAP57	0	0	0	0	2	0	0	0	0	2	2	2
CFAP61	0	0	0	0	2	0	0	0	0	2	2	2
CFAP65	0	0	0	0	2	0	0	0	0	2	2	2
CFAP74	0	0	0	0	2	0	0	0	0	2	2	2
CHAD	0	0	0	0	2	0	0	0	0	2	2	2
CHAF1A	0	0	0	0	2	0	0	0	0	2	2	2
CHAF1B	0	0	0	0	2	0	0	0	0	2	2	2
CHD1	0	0	0	0	2	0	0	0	0	2	2	2
CHD2	2	0	0	0	0	0	0	0	0	2	2	2
CHERP	0	0	0	0	2	0	0	0	0	2	2	2
CHI3L1	0	0	0	0	1	0	0	0	1	2	2	2
CHID1	0	0	0	0	2	0	0	0	0	2	2	2
CHKB	0	0	0	0	1	0	0	1	0	2	2	2
CHPT1	1	0	0	0	1	0	0	0	0	2	2	2
CHRD	0	0	1	0	1	0	0	0	0	2	2	2
CHRNA1	0	0	1	0	0	1	0	0	0	2	2	2
CHRNA4	0	0	0	0	2	0	0	0	0	2	2	2
CHRNB1	1	0	0	0	1	0	0	0	0	2	2	2
CHTF18	1	0	0	0	1	0	0	0	0	2	2	2
CIZ1	0	0	0	0	2	0	0	0	0	2	2	2
CLCC1	0	0	0	0	2	0	0	0	0	2	2	2
CLCN2	0	0	0	0	2	0	0	0	0	2	2	2
CLCN3	1	0	0	0	1	0	0	0	0	2	2	2
CLCN7	0	0	0	0	2	0	0	0	0	2	2	2
CLDN10	1	0	0	0	1	0	0	0	0	2	2	2
CLDN16	0	0	0	0	2	0	0	0	0	2	2	2
CLDN18	0	0	0	0	2	0	0	0	0	2	2	2
CLDN4	1	0	0	0	1	0	0	0	0	2	2	2
CLDN6	1	0	0	0	1	0	0	0	0	2	2	2
CLEC18B	0	0	0	0	2	0	0	0	0	2	2	2
CLHC1	0	0	0	0	1	1	0	0	0	2	2	2
CLIP1	0	0	0	0	2	0	0	0	0	2	2	2
CLK2	0	0	1	0	0	0	0	1	0	2	2	2
CLMN	0	0	0	0	2	0	0	0	0	2	2	2
CLPTM1L	0	0	0	0	2	0	0	0	0	2	2	2
CLRN3	1	1	0	0	0	0	0	0	0	2	2	2
CLUH	0	0	0	0	1	1	0	0	0	2	2	2
CLVS1	0	0	0	0	2	0	0	0	0	2	2	2
CLYBL	0	0	0	0	2	0	0	0	0	2	2	2
CNBD1	0	0	0	0	2	0	0	0	0	2	2	2
CNDP1	0	0	0	0	1	0	0	1	0	2	2	2
CNGA1	0	0	0	0	2	0	0	0	0	2	2	2
CNGA2	0	0	0	0	2	0	0	0	0	2	2	2
CNKSR2	0	0	0	0	2	0	0	0	0	2	2	2
CNKSR3	0	0	0	0	1	1	0	0	0	2	2	2
CNOT9	1	0	0	0	1	0	0	0	0	2	2	2
CNPY4	0	1	0	0	1	0	0	0	0	2	2	2
CNST	0	0	0	0	2	0	0	0	0	2	2	2
CNTLN	1	0	0	0	0	1	0	0	0	2	2	2
CNTN1	0	0	0	0	2	0	0	0	0	2	2	2
CNTN3	0	0	0	0	2	0	0	0	0	2	2	2
CNTN5	0	0	0	0	2	0	0	0	0	2	2	2
CNTN6	0	0	0	0	2	0	0	0	0	2	2	2
CNTNAP2	0	0	0	0	2	0	0	0	0	2	2	2
COASY	0	0	0	0	2	0	0	0	0	2	2	2
COG1	1	0	0	0	1	0	0	0	0	2	2	2
COIL	0	0	0	0	2	0	0	0	0	2	2	2
COL13A1	0	1	0	0	1	0	0	0	0	2	2	2
COL16A1	0	0	0	0	1	0	0	1	0	2	2	2
COL20A1	1	0	0	0	1	0	0	0	0	2	2	2
COL22A1	1	0	0	0	1	0	0	0	0	2	2	2
COL28A1	0	0	0	0	2	0	0	0	0	2	2	2
COL2A1	0	0	0	0	2	0	0	0	0	2	2	2
COL3A1	1	0	0	0	1	0	0	0	0	2	2	2
COL4A3	0	0	0	0	1	0	0	1	0	2	2	2
COL4A6	0	0	0	0	1	0	0	1	0	2	2	2
COL7A1	0	0	0	0	2	0	0	0	0	2	2	2
COL8A1	0	0	0	0	2	0	0	0	0	2	2	2
COL8A2	0	0	0	0	2	0	0	0	0	2	2	2
COL9A2	1	0	0	0	1	0	0	0	0	2	2	2
COLGALT2	0	0	0	0	2	0	0	0	0	2	2	2
COP1	0	0	0	0	2	0	0	0	0	2	2	2
COPS2	0	0	0	0	1	1	0	0	0	2	2	2
COPS4	0	0	0	0	0	2	0	0	0	2	2	2
COQ10A	1	0	0	0	1	0	0	0	0	2	2	2
COQ5	0	0	0	0	2	0	0	0	0	2	2	2
CORO2B	1	0	0	0	1	0	0	0	0	2	2	2
COX19	0	0	0	0	2	0	0	0	0	2	2	2
COX6B2	1	0	0	0	1	0	0	0	0	2	2	2
CPA5	0	0	0	0	2	0	0	0	0	2	2	2
CPEB1	0	0	0	0	2	0	0	0	0	2	2	2
CPSF3	0	0	0	0	2	0	0	0	0	2	2	2
CPXM1	0	0	0	0	2	0	0	0	0	2	2	2
CPXM2	0	0	0	0	1	0	0	1	0	2	2	2
CR2	0	1	0	0	1	0	0	0	0	2	2	2
CRACD	0	1	0	0	1	0	0	0	0	2	2	2
CREB3L2	1	0	0	0	1	0	0	0	0	2	2	2
CREB5	0	0	0	0	2	0	0	0	0	2	2	2
CRELD1	0	0	0	0	2	0	0	0	0	2	2	2
CRHR1	0	0	0	0	1	0	0	1	0	2	2	2
CRTC1	0	0	0	0	2	0	0	0	0	2	2	2
CRYBG2	0	0	0	0	1	1	0	0	0	2	2	2
CRYGA	0	0	0	0	2	0	0	0	0	2	2	2
CRYGB	0	0	0	0	2	0	0	0	0	2	2	2
CRYGS	0	0	0	0	1	0	0	0	1	2	2	2
CRYM	0	0	0	0	2	0	0	0	0	2	2	2
CS	0	0	0	0	2	0	0	0	0	2	2	2
CSF2RA	0	0	0	0	2	0	0	0	0	2	2	2
CSF3R	0	0	0	0	2	0	0	0	0	2	2	2
CSGALNACT1	0	0	0	0	1	1	0	0	0	2	2	2
CTBP2	0	0	0	0	2	0	0	0	0	2	2	2
CTDSP2	0	0	0	0	2	0	0	0	0	2	2	2
CTNNA3	0	0	0	0	2	0	0	0	0	2	2	2
CTPS1	0	0	0	0	2	0	0	0	0	2	2	2
CTSW	0	0	0	0	2	0	0	0	0	2	2	2
CUL1	1	0	0	0	0	1	0	0	0	2	2	2
CUL4B	0	0	0	0	2	0	0	0	0	2	2	2
CUL5	1	0	0	0	1	0	0	0	0	2	2	2
CUX2	0	0	0	0	2	0	0	0	0	2	2	2
CWC22	0	0	0	0	2	0	0	0	0	2	2	2
CWC25	0	0	0	0	2	0	0	0	0	2	2	2
CX3CR1	2	0	0	0	0	0	0	0	0	2	2	2
CXorf58	0	0	0	0	2	0	0	0	0	2	2	2
CYBRD1	0	0	0	0	2	0	0	0	0	2	2	2
CYP11B2	0	0	0	0	2	0	0	0	0	2	2	2
CYP19A1	0	0	0	0	2	0	0	0	0	2	2	2
CYP1A1	0	0	0	0	2	0	0	0	0	2	2	2
CYP26B1	0	0	0	0	2	0	0	0	0	2	2	2
CYP2A13	0	0	0	0	2	0	0	0	0	2	2	2
CYP4F12	0	0	0	0	2	0	0	0	0	2	2	2
CYTH2	0	0	0	0	2	0	0	0	0	2	2	2
CZIB	0	0	0	0	2	0	0	0	0	2	2	2
DALRD3	0	0	1	0	1	0	0	0	0	2	2	2
DAND5	0	0	0	0	2	0	0	0	0	2	2	2
DAPK2	0	0	0	0	1	1	0	0	0	2	2	2
DAPL1	0	0	0	0	2	0	0	0	0	2	2	2
DBH	0	0	0	0	2	0	0	0	0	2	2	2
DBN1	1	0	0	0	1	0	0	0	0	2	2	2
DCAKD	0	0	0	0	2	0	0	0	0	2	2	2
DCC	0	0	0	0	2	0	0	0	0	2	2	2
DCDC2	0	1	0	0	1	0	0	0	0	2	2	2
DCDC2B	1	0	0	0	1	0	0	0	0	2	2	2
DCLRE1A	0	0	0	0	2	0	0	0	0	2	2	2
DCST2	0	0	0	0	2	0	0	0	0	2	2	2
DDR2	0	0	0	0	2	0	0	0	0	2	2	2
DDX20	0	0	0	0	1	0	0	1	0	2	2	2
DDX24	0	0	0	0	1	1	0	0	0	2	2	2
DDX39B	0	1	0	0	1	0	0	0	0	2	2	2
DDX4	0	0	0	0	2	0	0	0	0	2	2	2
DDX55	1	0	0	0	1	0	0	0	0	2	2	2
DENND11	0	0	0	0	2	0	0	0	0	2	2	2
DENND1A	0	0	0	0	2	0	0	0	0	2	2	2
DENND4B	0	0	0	0	2	0	0	0	0	2	2	2
DENND4C	1	0	0	0	1	0	0	0	0	2	2	2
DGCR2	0	1	0	0	0	0	0	1	0	2	2	2
DGCR8	0	0	0	0	0	1	0	1	0	2	2	2
DGKQ	0	0	0	0	2	0	0	0	0	2	2	2
DHCR7	1	0	0	0	1	0	0	0	0	2	2	2
DHX15	0	0	0	0	2	0	0	0	0	2	2	2
DHX8	0	0	0	0	2	0	0	0	0	2	2	2
DIAPH3	0	1	0	0	1	0	0	0	0	2	2	2
DISC1	0	0	0	0	2	0	0	0	0	2	2	2
DISP1	0	0	0	0	2	0	0	0	0	2	2	2
DLGAP3	0	0	2	0	0	0	0	0	0	2	2	2
DLGAP5	0	0	0	0	2	0	0	0	0	2	2	2
DMGDH	0	0	0	0	2	0	0	0	0	2	2	2
DMKN	0	0	0	0	2	0	0	0	0	2	2	2
DMPK	0	0	0	0	1	1	0	0	0	2	2	2
DNA2	0	0	0	0	1	0	0	1	0	2	2	2
DNAJB1	0	1	0	0	1	0	0	0	0	2	2	2
DNAJC13	0	0	1	0	0	0	0	1	0	2	2	2
DNAJC3	0	0	0	0	2	0	0	0	0	2	2	2
DOCK3	1	0	0	0	1	0	0	0	0	2	2	2
DOK7	1	0	0	0	1	0	0	0	0	2	2	2
DOT1L	0	0	0	0	1	0	1	0	0	2	2	2
DPEP3	1	0	0	0	0	1	0	0	0	2	2	2
DPYS	0	0	0	0	2	0	0	0	0	2	2	2
DQX1	0	0	0	0	2	0	0	0	0	2	2	2
DRD2	0	0	0	0	1	0	0	1	0	2	2	2
DROSHA	0	0	0	0	2	0	0	0	0	2	2	2
DSC3	1	0	0	0	1	0	0	0	0	2	2	2
DSG2	0	0	0	0	2	0	0	0	0	2	2	2
DTNBP1	0	0	0	0	1	1	0	0	0	2	2	2
DTX1	0	0	0	0	2	0	0	0	0	2	2	2
DTX3	1	0	0	0	1	0	0	0	0	2	2	2
DUSP26	0	0	0	0	2	0	0	0	0	2	2	2
DYNC2I1	0	0	0	0	2	0	0	0	0	2	2	2
EAF2	1	0	0	0	1	0	0	0	0	2	2	2
EBNA1BP2	0	0	0	0	2	0	0	0	0	2	2	2
ECPAS	0	0	0	0	1	1	0	0	0	2	2	2
ECSIT	0	0	0	0	2	0	0	0	0	2	2	2
ECT2	0	0	0	0	2	0	0	0	0	2	2	2
EDC4	1	0	0	0	1	0	0	0	0	2	2	2
EDNRB	0	0	0	0	2	0	0	0	0	2	2	2
EEF1A1	0	0	0	0	2	0	0	0	0	2	2	2
EEF1AKNMT	0	0	0	0	2	0	0	0	0	2	2	2
EFCAB6	0	0	0	0	2	0	0	0	0	2	2	2
EFCC1	0	0	0	0	2	0	0	0	0	2	2	2
EFR3A	0	0	0	0	2	0	0	0	0	2	2	2
EGLN2	0	0	0	0	2	0	0	0	0	2	2	2
EHBP1L1	0	0	0	0	2	0	0	0	0	2	2	2
EHMT1	0	0	0	0	1	0	0	1	0	2	2	2
EHMT2	0	0	0	0	2	0	0	0	0	2	2	2
EIF2AK1	0	0	0	0	2	0	0	0	0	2	2	2
EIF2B2	0	0	0	0	2	0	0	0	0	2	2	2
EIF2B3	2	0	0	0	0	0	0	0	0	2	2	2
EIF4A2	0	0	0	0	2	0	0	0	0	2	2	2
EIF4G1	0	0	0	0	2	0	0	0	0	2	2	2
EIF4G2	0	0	0	0	2	0	0	0	0	2	2	2
EIF5	0	0	0	0	2	0	0	0	0	2	2	2
ELAPOR1	0	0	0	0	0	2	0	0	0	2	2	2
ELAPOR2	0	0	0	0	2	0	0	0	0	2	2	2
ELF1	0	1	0	0	0	1	0	0	0	2	2	2
ELMO1	0	0	0	0	2	0	0	0	0	2	2	2
ELN	0	0	1	0	1	0	0	0	0	2	2	2
ELOVL4	0	1	0	0	1	0	0	0	0	2	2	2
ELP1	0	0	0	0	1	1	0	0	0	2	2	2
ELP2	0	0	0	0	2	0	0	0	0	2	2	2
EMC2	1	0	0	0	1	0	0	0	0	2	2	2
EMC4	0	0	0	0	2	0	0	0	0	2	2	2
EMSY	0	0	0	0	2	0	0	0	0	2	2	2
ENHO	0	0	0	0	2	0	0	0	0	2	2	2
ENO1	0	0	0	0	2	0	0	0	0	2	2	2
ENPEP	1	0	0	0	1	0	0	0	0	2	2	2
ENPP2	0	0	0	0	2	0	0	0	0	2	2	2
ENPP4	0	2	0	0	0	0	0	0	0	2	2	2
ENPP7	0	0	0	0	2	0	0	0	0	2	2	2
ENTHD1	0	0	0	0	2	0	0	0	0	2	2	2
EPB41L2	1	0	0	0	1	0	0	0	0	2	2	2
EPB41L5	0	0	1	0	0	0	0	1	0	2	2	2
EPHA6	0	0	0	0	2	0	0	0	0	2	2	2
EPHB6	0	0	0	0	2	0	0	0	0	2	2	2
EPS8L2	0	0	0	0	2	0	0	0	0	2	2	2
ERBIN	0	0	0	0	2	0	0	0	0	2	2	2
ERC1	0	0	0	0	2	0	0	0	0	2	2	2
ERICH1	0	0	0	0	2	0	0	0	0	2	2	2
ERICH3	0	0	0	0	2	0	0	0	0	2	2	2
ERICH5	0	0	0	0	2	0	0	0	0	2	2	2
ERP27	0	0	0	0	2	0	0	0	0	2	2	2
ESCO1	0	1	0	0	1	0	0	0	0	2	2	2
ESPN	0	0	0	0	2	0	0	0	0	2	2	2
ESYT1	1	0	0	0	1	0	0	0	0	2	2	2
ETAA1	1	0	0	0	1	0	0	0	0	2	2	2
ETFDH	0	0	0	0	2	0	0	0	0	2	2	2
ETNK1	0	0	0	0	2	0	0	0	0	2	2	2
ETNPPL	0	0	0	0	1	1	0	0	0	2	2	2
ETV1	0	0	0	0	2	0	0	0	0	2	2	2
EVI5	0	0	0	0	2	0	0	0	0	2	2	2
EVPL	0	0	0	0	1	1	0	0	0	2	2	2
EXOC6B	2	0	0	0	0	0	0	0	0	2	2	2
EXT1	0	0	0	0	1	1	0	0	0	2	2	2
EXTL3	0	0	0	0	2	0	0	0	0	2	2	2
F11	0	0	0	0	1	1	0	0	0	2	2	2
F2	0	0	0	0	2	0	0	0	0	2	2	2
F2R	0	0	0	0	1	1	0	0	0	2	2	2
F8	0	0	0	0	2	0	0	0	0	2	2	2
FAAH	1	0	0	0	0	0	0	0	1	2	2	2
FAAP100	0	0	0	0	1	1	0	0	0	2	2	2
FADS2	0	0	0	0	2	0	0	0	0	2	2	2
FAM124A	0	0	0	0	1	1	0	0	0	2	2	2
FAM135B	0	0	0	0	1	0	0	1	0	2	2	2
FAM153A	0	0	0	0	1	0	0	1	0	2	2	2
FAM163B	0	0	0	0	2	0	0	0	0	2	2	2
FAM168A	0	0	0	0	1	1	0	0	0	2	2	2
FAM170A	0	0	0	0	2	0	0	0	0	2	2	2
FAM20B	1	0	0	0	1	0	0	0	0	2	2	2
FAM214A	0	0	0	0	2	0	0	0	0	2	2	2
FAM217A	0	0	1	0	1	0	0	0	0	2	2	2
FAM241B	0	0	0	0	2	0	0	0	0	2	2	2
FAM47C	0	0	0	0	2	0	0	0	0	2	2	2
FAM71B	0	0	0	0	2	0	0	0	0	2	2	2
FAM71C	0	0	0	0	2	0	0	0	0	2	2	2
FAM76A	0	0	0	0	2	0	0	0	0	2	2	2
FAM83E	0	1	0	0	1	0	0	0	0	2	2	2
FANCA	0	0	0	0	2	0	0	0	0	2	2	2
FANCE	0	0	0	0	2	0	0	0	0	2	2	2
FANCI	0	0	0	0	2	0	0	0	0	2	2	2
FANCM	0	0	0	0	2	0	0	0	0	2	2	2
FARP2	0	0	0	0	2	0	0	0	0	2	2	2
FASTKD1	0	0	0	0	2	0	0	0	0	2	2	2
FBF1	0	0	0	0	2	0	0	0	0	2	2	2
FBLN1	0	0	0	0	2	0	0	0	0	2	2	2
FBLN2	0	0	0	0	2	0	0	0	0	2	2	2
FBXL14	0	0	0	0	1	1	0	0	0	2	2	2
FBXO11	1	0	0	0	1	0	0	0	0	2	2	2
FBXO30	0	0	0	0	2	0	0	0	0	2	2	2
FBXO42	0	0	0	0	1	1	0	0	0	2	2	2
FCAR	0	0	0	0	2	0	0	0	0	2	2	2
FCGBP	0	0	0	0	2	0	0	0	0	2	2	2
FCHO2	0	0	0	0	1	1	0	0	0	2	2	2
FCRL1	0	0	0	0	2	0	0	0	0	2	2	2
FCRL3	0	0	0	0	2	0	0	0	0	2	2	2
FCRL4	0	0	0	0	2	0	0	0	0	2	2	2
FEM1C	0	0	0	0	2	0	0	0	0	2	2	2
FGA	0	0	0	0	2	0	0	0	0	2	2	2
FGGY	0	0	1	0	1	0	0	0	0	2	2	2
FHOD1	0	0	0	0	2	0	0	0	0	2	2	2
FIG4	0	0	0	0	2	0	0	0	0	2	2	2
FIGN	0	0	0	0	2	0	0	0	0	2	2	2
FIP1L1	0	1	0	0	1	0	0	0	0	2	2	2
FKBPL	0	0	0	0	2	0	0	0	0	2	2	2
FLACC1	0	1	0	0	1	0	0	0	0	2	2	2
FLCN	2	0	0	0	0	0	0	0	0	2	2	2
FLNB	1	0	0	0	1	0	0	0	0	2	2	2
FLRT2	0	0	0	0	1	1	0	0	0	2	2	2
FLT3	0	0	0	0	2	0	0	0	0	2	2	2
FMNL3	0	0	0	0	2	0	0	0	0	2	2	2
FMO1	0	0	0	0	2	0	0	0	0	2	2	2
FNTB	0	0	0	0	2	0	0	0	0	2	2	2
FOCAD	0	1	0	0	1	0	0	0	0	2	2	2
FOXJ3	1	0	0	0	1	0	0	0	0	2	2	2
FRMD4A	0	1	0	0	1	0	0	0	0	2	2	2
FRMD7	0	0	0	0	1	1	0	0	0	2	2	2
FRMPD4	0	1	0	0	1	0	0	0	0	2	2	2
FRYL	0	0	0	0	1	1	0	0	0	2	2	2
FSCN1	0	0	0	0	2	0	0	0	0	2	2	2
FTMT	0	0	0	0	2	0	0	0	0	2	2	2
FTSJ3	0	0	0	0	2	0	0	0	0	2	2	2
FUS	0	0	0	0	2	0	0	0	0	2	2	2
FYB1	0	1	0	0	1	0	0	0	0	2	2	2
FYB2	0	0	0	0	1	1	0	0	0	2	2	2
G2E3	0	0	0	0	2	0	0	0	0	2	2	2
G3BP2	0	1	0	0	1	0	0	0	0	2	2	2
G6PC	1	0	0	0	1	0	0	0	0	2	2	2
G6PD	0	0	0	0	2	0	0	0	0	2	2	2
GABBR1	0	0	0	0	1	0	0	1	0	2	2	2
GABPB1	1	0	0	0	0	0	0	1	0	2	2	2
GABRB1	1	0	0	0	1	0	0	0	0	2	2	2
GABRE	0	1	0	0	1	0	0	0	0	2	2	2
GABRG1	0	0	0	0	2	0	0	0	0	2	2	2
GABRR1	0	0	0	0	2	0	0	0	0	2	2	2
GAL3ST1	1	0	0	0	1	0	0	0	0	2	2	2
GALM	0	0	0	0	2	0	0	0	0	2	2	2
GALNT11	0	0	0	0	2	0	0	0	0	2	2	2
GALNT18	0	0	0	0	2	0	0	0	0	2	2	2
GALNTL5	0	0	0	0	2	0	0	0	0	2	2	2
GAPDHS	0	0	0	0	2	0	0	0	0	2	2	2
GAREM1	0	0	0	0	2	0	0	0	0	2	2	2
GATA2	0	1	0	0	1	0	0	0	0	2	2	2
GATAD2A	0	0	0	0	2	0	0	0	0	2	2	2
GBA2	1	0	0	0	1	0	0	0	0	2	2	2
GBA3	0	0	0	0	2	0	0	0	0	2	2	2
GBGT1	0	0	0	0	2	0	0	0	0	2	2	2
GBP1	0	0	0	0	2	0	0	0	0	2	2	2
GCFC2	0	0	0	0	2	0	0	0	0	2	2	2
GCKR	0	0	0	0	2	0	0	0	0	2	2	2
GCNT1	0	0	0	0	1	1	0	0	0	2	2	2
GCNT2	0	0	0	0	2	0	0	0	0	2	2	2
GCOM1	0	0	0	0	2	0	0	0	0	2	2	2
GEMIN8	0	0	0	0	2	0	0	0	0	2	2	2
GET1-SH3BGR	0	0	0	0	2	0	0	0	0	2	2	2
GGA1	0	0	0	0	2	0	0	0	0	2	2	2
GGNBP2	1	0	0	0	0	1	0	0	0	2	2	2
GGT5	0	0	0	0	2	0	0	0	0	2	2	2
GGT7	0	0	0	0	2	0	0	0	0	2	2	2
GID8	1	0	0	0	1	0	0	0	0	2	2	2
GIPC1	0	0	0	0	2	0	0	0	0	2	2	2
GIT2	0	0	0	0	2	0	0	0	0	2	2	2
GJB6	0	0	0	0	2	0	0	0	0	2	2	2
GLDC	1	0	0	0	1	0	0	0	0	2	2	2
GLDN	0	0	0	0	2	0	0	0	0	2	2	2
GLI1	0	0	1	0	1	0	0	0	0	2	2	2
GLI3	0	0	0	0	2	0	0	0	0	2	2	2
GLS2	0	0	0	0	2	0	0	0	0	2	2	2
GMIP	0	0	0	0	2	0	0	0	0	2	2	2
GNA14	0	0	0	0	2	0	0	0	0	2	2	2
GNMT	1	0	0	0	0	0	0	1	0	2	2	2
GOLGA1	0	0	0	0	2	0	0	0	0	2	2	2
GOLGA4	0	0	0	0	2	0	0	0	0	2	2	2
GOLGA5	1	0	0	0	1	0	0	0	0	2	2	2
GOLIM4	0	0	0	0	2	0	0	0	0	2	2	2
GOLT1A	1	0	0	0	1	0	0	0	0	2	2	2
GOT1	1	0	0	0	0	1	0	0	0	2	2	2
GOT2	0	0	0	0	2	0	0	0	0	2	2	2
GPR148	0	0	0	0	2	0	0	0	0	2	2	2
GPR15	0	0	0	0	2	0	0	0	0	2	2	2
GPR171	0	0	0	0	2	0	0	0	0	2	2	2
GPR174	1	0	0	0	1	0	0	0	0	2	2	2
GPR45	0	0	0	0	2	0	0	0	0	2	2	2
GPR65	0	0	0	0	2	0	0	0	0	2	2	2
GPR75	0	0	0	0	2	0	0	0	0	2	2	2
GPR89A	0	0	0	0	2	0	0	0	0	2	2	2
GPRC5B	0	0	0	0	2	0	0	0	0	2	2	2
GPSM1	0	0	0	0	2	0	0	0	0	2	2	2
GPX3	0	0	0	0	2	0	0	0	0	2	2	2
GPX4	0	0	0	0	1	1	0	0	0	2	2	2
GPX8	0	0	0	0	2	0	0	0	0	2	2	2
GRHL1	0	0	0	0	2	0	0	0	0	2	2	2
GRIA2	0	0	0	0	2	0	0	0	0	2	2	2
GRID1	0	0	0	0	2	0	0	0	0	2	2	2
GRIK2	0	0	0	0	2	0	0	0	0	2	2	2
GRIK5	0	0	0	0	1	0	0	1	0	2	2	2
GRIP1	0	0	0	0	2	0	0	0	0	2	2	2
GRK6	0	0	0	0	2	0	0	0	0	2	2	2
GRM4	0	0	1	0	1	0	0	0	0	2	2	2
GRPEL1	0	0	0	0	0	2	0	0	0	2	2	2
GRSF1	0	0	0	0	2	0	0	0	0	2	2	2
GRTP1	0	0	0	0	2	0	0	0	0	2	2	2
GSAP	0	0	0	0	2	0	0	0	0	2	2	2
GTF3C1	0	1	0	0	1	0	0	0	0	2	2	2
GTSE1	1	0	0	0	1	0	0	0	0	2	2	2
GUCY1A1	1	0	0	0	1	0	0	0	0	2	2	2
GULP1	0	0	0	0	0	0	0	2	0	2	2	2
H2AC15	0	0	0	0	2	0	0	0	0	2	2	2
H2AC21	0	1	0	0	1	0	0	0	0	2	2	2
H4C5	0	0	0	0	2	0	0	0	0	2	2	2
HACE1	0	0	0	0	0	1	0	1	0	2	2	2
HADHA	0	0	0	0	2	0	0	0	0	2	2	2
HAP1	0	0	0	0	2	0	0	0	0	2	2	2
HAUS7	0	0	0	0	2	0	0	0	0	2	2	2
HCFC1	0	0	0	0	2	0	0	0	0	2	2	2
HCK	0	0	0	0	2	0	0	0	0	2	2	2
HCN4	0	0	0	0	2	0	0	0	0	2	2	2
HCRTR2	0	0	0	0	2	0	0	0	0	2	2	2
HDAC6	0	0	0	0	2	0	0	0	0	2	2	2
HECTD1	0	0	0	0	2	0	0	0	0	2	2	2
